key,user_id,user_name,user_handle,x_coordinate,y_coordinate,political party,year,country,twitter_active_during_year
,,Nicola Sturgeon,NicolaSturgeon,-1,2,Scottish National Party,2015,UK,
,,Nick Clegg,Nick Clegg,5,2,Liberal Democrats,2015,UK,
,,Theresa May,theresa_may,7,9,Conservative,2017,UK,
,,Jeremy Corbyn,jeremycorbyn,-4,-2,Labour,2017,UK,
,,Nicola Sturgeon,NicolaSturgeon,-2,2,Scottish National Party,2017,UK,
,,Tim Farron,timfarron,3,1,Liberal Democrats,2017,UK,
,,Arlene Foster,ArleneFosterUK,5,8,DUP,2017,UK,
,,Boris Johnson,BorisJohnson,9,7,Conservative,2019,UK,
,,Jeremy Corbyn,jeremycorbyn,-6,-2,Labour,2019,UK,
,,Nicola Sturgeon,NicolaSturgeon,-2,-1,Scottish National Party,2019,UK,
,,Jo Swinson,joswinson,4,2,Liberal Democrats,2019,UK,
,,Nicola Sturgeon,NicolaSturgeon,-2,-1,Scottish National Party,2021,UK,
,,Douglass Ross,Douglas4Moray,7,6,Conservative,2021,UK,
,,Anas Sarwar,AnasSarwar,1,2,Labour,2021,UK,
,,Lorna Slater,lornaslater,-4,-3,Scottish Green,2021,UK,
,,Patrick Harvie,patrickharvie,-4,-3,Scottish Green,2021,UK,
,,Willie Rennie,willie_rennie,5,2,Liberal Democrats,2021,UK,
,,Michael Martin,MichealMartinTD,4,4,Fianna Fail,2020,IE,
,,Mary Lou McDonald,MaryLouMcDonald,-2,2,Sinn Fein,2020,IE,
,,Leo Varadkar,LeoVaradkar,7,2,Fine Gael,2020,IE,
,,Eamon Ryan,EamonRyan,-2,-3,Green,2020,IE,
,,Brendan Howlin,BrendanHowlin,2,-1,Labour,2020,IE,
,,Catherine Murphy,CathMurphyTD,-3,-3,Social Democrats,2020,IE,
,,Roisin Shortall,RoisinShortall,-3,-3,Social Democrats,2020,IE,
,,Peer Steinbruck,peersteinbrueck,1,2,SPD,2013,DE,
,,Gregor Gysi,GregorGysi,-5,-7,Left,2013,DE,
,,Jurgen Trittin,JTrittin,-3,-4,Greens,2013,DE,
,,Katrin Goring-Eckardt,GoeringEckardt,-3,-4,Greens,2013,DE,
,,Martin Schulz,MartinSchulz,3,2,SPD,2017,DE,
,,Alexander Gauland,AG_AfD,5,8,AfD,2017,DE,
,,Alice Weidel,Alice_Weidel,5,8,AfD,2017,DE,
,,Christian Lindner,c_lindner,7,3,FDP,2017,DE,
,,Dietmar Bartsch,DietmarBartsch,-2,-1,Left,2017,DE,
,,Sahra Wagenknecht,SWagenknecht,-2,-1,Left,2017,DE,
,,Katrin Goring-Eckardt,GoeringEckardt,2,4,Greens,2017,DE,
,,Cem Ozdemir ,cem_oezdemir,2,4,Greens,2017,DE,
,,Olaf Scholz,OlafScholz,4,2,SPD,2021,DE,
,,Armin Laschet,ArminLaschet,6,6,CDU/CSU,2021,DE,
,,Annalena Baerbock,ABaerbock,3,3,Greens,2021,DE,
,,Christian Linder,c_lindner,9,1,FDP,2021,DE,
,,Alice Weidel,Alice_Weidel,7,8,AfD,2021,DE,
,,Tino Chrupalla,Tino_Chrupalla,7,8,AfD,2021,DE,
,,Janine Wissler,Janine_Wissler,-2,-1,Left,2021,DE,
,,Dietmar Bartsch,DietmarBartsch,-2,-1,Left,2021,DE,
,,Emmanuel Macron,EmmanuelMacron,9,-1,EM,2017,FR,
,,Marie Le Pen,MLP_officiel,0,9,FN,2017,FR,
,,Jean-Luc Melenchon,JLMelenchon,-6,-1,LFI,2017,FR,
,,Benoit Hamon,benoithamon,-1,-1,PS,2017,FR,
,,Francois Fillon,FrancoisFillon,8,7,LR,2017,FR,
,,Emmanuel Macron,EmmanuelMacron,8,3,LREM,2022,FR,
,,Marie Le Pen,MLP_officiel,1,7,RN,2022,FR,
,,Anne Hildago,Anne_Hidalgo,0,-1,PS,2022,FR,
,,Eric Zemmour,ZemmourEric,8,8,R!,2022,FR,
,,Valerie Pecresse,vpecresse,8,6,LR,2022,FR,
,,Yannick Jadot,yjadot,-2,-2,LE,2022,FR,
,,Jean-Luc Melenchon,JLMelenchon,-6,-1,LFI,2022,FR,
,,Fabien Roussel,Fabien_Roussel,-8,1,PCF,2022,FR,
,,Julia Gillard,JuliaGillard,4,4,Labor,2010,AUS,
,,Tony Abbot,HonTonyAbbott,7,7,Liberal/National Coalition,2010,AUS,
,,Bob Brown,DrBobBrown,-2,-3,Greens,2010,AUS,
,,Tony Abbot,HonTonyAbbott,7,7,Liberal/National Coalition,2013,AUS,
,,Kevin Rudd,MrKRudd,5,5,Labor,2013,AUS,
,,Chrstine Milne,ChristineMilne,-3,-4,Greens,2013,AUS,
,,Bob Katter,RealBobKatter,-2,8,Katter's Australia,2013,AUS,
,,Malcolm Turnbull,TurnbullMalcolm,8,7,Liberal/National Coalition,2016,AUS,
,,Bill Shorten,billshortenmp,4,4,Labor,2016,AUS,
,,Richard Di Natale,RichardDiNatale,-1,-5,Greens,2016,AUS,
,,Bob Katter,RealBobKatter,8,-2,Katter's Australia,2016,AUS,
,,Scott Morrison,ScoMo30,8,7,Liberal/National Coalition,2019,AUS,
,,Bill Shorten,billshortenmp,4,3,Labour,2019,AUS,
,,Richard Di Natale,RichardDiNatale,-3,-2,Greens,2019,AUS,
,,Bob Katter,RealBobKatter,7,-2,Katter's Australia,2019,AUS,
,,Rebekha Sharkie,MakeMayoMatter,5,5,Centre Alliance,2019,AUS,
,,Anthony Albanese,AlboMP,4,2,Labour,2022,AUS,
,,Scott Morrison,ScoMo30,8,8,Liberal/National Coalition,2022,AUS,
,,Adam Bandt,AdamBandt,-3,-2,Greens,2022,AUS,
,,Bob Katter,RealBobKatter,8,-1,Katter's Australia,2022,AUS,
,,Jair Bolsanaro,jairbolsonaro,9,9,Liberal,2022,BR,
,,Lula da Silva,LulaOficial,-3,-2,Workers,2022,BR,
,,John Key,RtHon_JohnKey,7,4,National,2011,NZ,
,,Phil Goff,phil_goff,2,0,Labour,2011,NZ,
,,Russel Norman,RusselNorman,-4,-2,Green,2011,NZ,
,,Metiria Turei,MetiriaTureiMP,-4,-2,Green,2011,NZ,
,,Pita Sharples,papapita,-1,0,Maori Party,2011,NZ,
,,Hone Harawire,MPHoneHarawira,-3,3,Mana,2011,NZ,
,,Don Brash,DonBrashNZ,8,4,ACT,2011,NZ,
,,Peter Dunne,honpeterdunne,5,5,United Future,2011,NZ,
,,John Key,RtHon_JohnKey,7,5,National,2014,NZ,
,,David Cunliffe,davidcunliffe,2,1,Labour,2014,NZ,
,,Russel Norman,RusselNorman,-4,-4,Green,2014,NZ,
,,Metiria Turei,MetiriaTureiMP,-4,-4,Green,2014,NZ,
,,Winston Peters,winstonpeters,-1,2,NZ First,2014,NZ,
,,Te Ururoa Flavell,TeUruroaFlavell,-1,0,Maori Party,2014,NZ,
,,Jamie Whyte,_JamieWhyte,9,7,ACT,2014,NZ,
,,Peter Dunne,honpeterdunne,3,0,United Future,2014,NZ,
,,Hone Harawire,MPHoneHarawira,-5,-2,Internet Mana,2014,NZ,
,,Laila Harre,lailaharre,-5,-2,Internet Mana,2014,NZ,
,,Bill English,RtHonBEnglish,8,6,National,2017,NZ,
,,Jacinda Ardern,jacindaardern,3,2,Labour,2017,NZ,
,,Winston Peters,winstonpeters,-1,4,NZ First,2017,NZ,
,,James Shaw,jamespeshaw,-3,-3,Green,2017,NZ,
,,David Seymour,dbseymour,9,7,ACT,2017,NZ,
,,Te Ururoa Flavell,TeUruroaFlavell,-1,0,Maori Party,2017,NZ,
,,Jacinda Ardern,jacindaardern,5,3,Labour,2020,NZ,
,,Judith Collins,JudithCollinsMP,8,6,National,2020,NZ,
,,James Shaw,jamespeshaw,-3,-3,Green,2020,NZ,
,,Marama Davidson,MaramaDavidson,-3,-3,Green,2020,NZ,
,,David Seymour,dbseymour,9,-1,ACT,2020,NZ,
,,John Tamihere,john_tamihere,0,0,Maori Party,2020,NZ,
,,Debbie Ngarewa-Packer,whaeadeb,0,0,Maori Party,2020,NZ,
,,Winston Peters,winstonpeters,7,7,NZ First,2020,NZ,
,,Christopher Luxon,chrisluxonmp,8,6,National,2023,NZ,
,,Chris Hipkins,chrishipkins,6,4,Labour,2023,NZ,
,,James Shaw,jamespeshaw,-2,-3,Green,2023,NZ,
,,Marama Davidson,MaramaDavidson,-2,-3,Green,2023,NZ,
,,David Seymour,dbseymour,10,-2,ACT,2023,NZ,
,,Winston Peters,winstonpeters,7,7,NZ First,2023,NZ,
,,Debbie Ngarewa-Packer,whaeadeb,-1,1,Te Pati Maori,2023,NZ,
