key,id,politician,handle
140,16220863,David Cunliffe,davidcunliffe
141,346944092,Winston Peters,winstonpeters
142,262909861,Te Ururoa Flavell,TeUruroaFlavell
143,1019934826579791872,Jamie Whyte,_JamieWhyte
144,1277147870,Laila Harre,lailaharre
145,31634233,Bill English,RtHonBEnglish
146,22959763,Jacinda Ardern,jacindaardern
147,31583101,James Shaw,jamespeshaw
148,23352383,David Seymour,dbseymour
149,756227808,Judith Collins,JudithCollinsMP
150,147406561,Marama Davidson,MaramaDavidson
151,69209529,John Tamihere,john_tamihere
152,1613567335,Debbie Ngarewa-Packer,whaeadeb
153,1180976032658014209,Christopher Luxon,chrisluxonmp
154,25754056,Chris Hipkins,chrishipkins
2008,N/A,Duncan Hunter,N/A
12008,N/A,John Edwards,N/A
12010,N/A,Tony Crook,N/A
12011,N/A,Tariana Turia,N/A
12012,N/A,Stewart Alexander,N/A
12013,N/A,Angela Merkel,N/A
12017,N/A,Marama Fox,N/A
22008,N/A,Stephane Dion,N/A
22012,N/A,Rockey Anderson,N/A
22013,N/A,Rainer Bruderle,N/A
32008,N/A,Gilles Duceppe,N/A
